Date : 2021-10-06 22:13:17
Directory : e:\Projects\Development\Oxalate
Total : 159 files,  7169 codes, 531 comments, 514 blanks, all 8214 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| OxalateCorePlugin\obj\Debug\netcoreapp3.1                                                                                                |          3 |         15 |         11 |          7 |         33 |
| OxalateCorePlugin\obj\Release                                                                                                            |          4 |         33 |         11 |          7 |         51 |
| OxalateCorePlugin\obj\Release\netcoreapp3.1                                                                                              |          3 |         15 |         11 |          7 |         33 |
| OxalateServer                                                                                                                            |         37 |      1,360 |        184 |        167 |      1,711 |
| OxalateServer\bin                                                                                                                        |         14 |        265 |          0 |         13 |        278 |
| OxalateServer\bin\Debug                                                                                                                  |          9 |        158 |          0 |          8 |        166 |
| OxalateServer\bin\Debug\netcoreapp3.1                                                                                                    |          9 |        158 |          0 |          8 |        166 |
| OxalateServer\bin\Debug\netcoreapp3.1\plugins                                                                                            |          3 |         49 |          0 |          6 |         55 |
| OxalateServer\bin\Debug\netcoreapp3.1\plugins\oxalateCore                                                                                |          3 |         49 |          0 |          6 |         55 |
| OxalateServer\bin\Debug\netcoreapp3.1\userdata                                                                                           |          1 |         10 |          0 |          0 |         10 |
| OxalateServer\bin\Release                                                                                                                |          5 |        107 |          0 |          5 |        112 |
| OxalateServer\bin\Release\netcoreapp3.1                                                                                                  |          5 |        107 |          0 |          5 |        112 |
| OxalateServer\obj                                                                                                                        |         10 |        347 |         22 |         14 |        383 |
| OxalateServer\obj\Debug                                                                                                                  |          3 |         15 |         11 |          7 |         33 |
| OxalateServer\obj\Debug\netcoreapp3.1                                                                                                    |          3 |         15 |         11 |          7 |         33 |
| OxalateServer\obj\Release                                                                                                                |          3 |         15 |         11 |          7 |         33 |
| OxalateServer\obj\Release\netcoreapp3.1                                                                                                  |          3 |         15 |         11 |          7 |         33 |
| OxalateStandard                                                                                                                          |         21 |        747 |         86 |         72 |        905 |
| OxalateStandard\bin                                                                                                                      |          2 |         72 |          0 |          0 |         72 |
| OxalateStandard\bin\Debug                                                                                                                |          1 |         36 |          0 |          0 |         36 |
| OxalateStandard\bin\Debug\netcoreapp3.1                                                                                                  |          1 |         36 |          0 |          0 |         36 |
| OxalateStandard\bin\Release                                                                                                              |          1 |         36 |          0 |          0 |         36 |
| OxalateStandard\bin\Release\netcoreapp3.1                                                                                                |          1 |         36 |          0 |          0 |         36 |
| OxalateStandard\obj                                                                                                                      |         11 |        279 |         22 |         14 |        315 |
| OxalateStandard\obj\Debug                                                                                                                |          4 |         30 |         11 |          7 |         48 |
| OxalateStandard\obj\Debug\netcoreapp3.1                                                                                                  |          3 |         15 |         11 |          7 |         33 |
| OxalateStandard\obj\Release                                                                                                              |          3 |         15 |         11 |          7 |         33 |
| OxalateStandard\obj\Release\netcoreapp3.1                                                                                                |          3 |         15 |         11 |          7 |         33 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                 | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\Projects\Development\Oxalate\JsonSharp\Json.cs                                                                                        | C#         |        543 |          1 |          1 |        545 |
| e:\Projects\Development\Oxalate\JsonSharp\JsonSharp.csproj                                                                               | XML        |          5 |          0 |          3 |          8 |
| e:\Projects\Development\Oxalate\JsonSharp\bin\Debug\netcoreapp3.1\JsonSharp.deps.json                                                    | JSON       |         23 |          0 |          0 |         23 |
| e:\Projects\Development\Oxalate\JsonSharp\bin\Release\netcoreapp3.1\JsonSharp.deps.json                                                  | JSON       |         23 |          0 |          0 |         23 |
| e:\Projects\Development\Oxalate\JsonSharp\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs                         | C#         |          3 |          1 |          1 |          5 |
| e:\Projects\Development\Oxalate\JsonSharp\obj\Debug\netcoreapp3.1\JsonSharp.AssemblyInfo.cs                                              | C#         |          9 |         10 |          5 |         24 |
| e:\Projects\Development\Oxalate\JsonSharp\obj\Debug\netcoreapp3.1\JsonSharp.GeneratedMSBuildEditorConfig.editorconfig                    | Properties |          3 |          0 |          1 |          4 |
| e:\Projects\Development\Oxalate\JsonSharp\obj\JsonSharp.csproj.nuget.dgspec.json                                                         | JSON       |         62 |          0 |          0 |         62 |
| e:\Projects\Development\Oxalate\JsonSharp\obj\JsonSharp.csproj.nuget.g.props                                                             | XML        |         18 |          0 |          0 |         18 |
| e:\Projects\Development\Oxalate\JsonSharp\obj\JsonSharp.csproj.nuget.g.targets                                                           | XML        |          6 |          0 |          0 |          6 |
| e:\Projects\Development\Oxalate\JsonSharp\obj\Release\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs                       | C#         |          3 |          1 |          1 |          5 |
| e:\Projects\Development\Oxalate\JsonSharp\obj\Release\netcoreapp3.1\JsonSharp.AssemblyInfo.cs                                            | C#         |          9 |         10 |          5 |         24 |
| e:\Projects\Development\Oxalate\JsonSharp\obj\Release\netcoreapp3.1\JsonSharp.GeneratedMSBuildEditorConfig.editorconfig                  | Properties |          3 |          0 |          1 |          4 |
| e:\Projects\Development\Oxalate\JsonSharp\obj\project.assets.json                                                                        | JSON       |         67 |          0 |          0 |         67 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\ConnectDialog.Designer.cs                                                              | C#         |        103 |         32 |          7 |        142 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\ConnectDialog.cs                                                                       | C#         |        111 |          0 |          8 |        119 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\MainForm.Designer.cs                                                                   | C#         |         94 |         35 |          9 |        138 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\MainForm.ShowMessage.cs                                                                | C#         |        105 |          0 |          9 |        114 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\MainForm.cs                                                                            | C#         |        130 |          0 |         19 |        149 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\OxalateClientTCP-GUI.csproj                                                            | XML        |         24 |          0 |          5 |         29 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\Preference.cs                                                                          | C#         |        114 |          3 |          8 |        125 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\Program.cs                                                                             | C#         |         26 |          3 |          2 |         31 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\Properties\Resources.Designer.cs                                                       | C#         |         32 |         23 |          9 |         64 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\TextBoxIO.cs                                                                           | C#         |         71 |          0 |          7 |         78 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\UserProfileDialog.Designer.cs                                                          | C#         |         83 |         29 |          7 |        119 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\UserProfileDialog.cs                                                                   | C#         |         36 |          0 |          5 |         41 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\OxalateClient-GUI.deps.json                                    | JSON       |         63 |          0 |          0 |         63 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\OxalateClient-GUI.runtimeconfig.dev.json                       | JSON       |          8 |          0 |          0 |          8 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\OxalateClient-GUI.runtimeconfig.json                           | JSON       |          9 |          0 |          0 |          9 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\OxalateClientTCP-GUI.deps.json                                 | JSON       |         63 |          0 |          0 |         63 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\OxalateClientTCP-GUI.runtimeconfig.dev.json                    | JSON       |          8 |          0 |          0 |          8 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\OxalateClientTCP-GUI.runtimeconfig.json                        | JSON       |          9 |          0 |          0 |          9 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\config.json                                                    | JSON       |         95 |          0 |          0 |         95 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs                 | C#         |          3 |          1 |          1 |          5 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClient-GUI.AssemblyInfo.cs                              | C#         |          9 |         10 |          5 |         24 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClient-GUI.GeneratedMSBuildEditorConfig.editorconfig    | Properties |          3 |          0 |          1 |          4 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClient-GUI.designer.deps.json                           | JSON       |         11 |          0 |          0 |         11 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClient-GUI.designer.runtimeconfig.json                  | JSON       |         16 |          0 |          0 |         16 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClientTCP-GUI.AssemblyInfo.cs                           | C#         |          9 |         10 |          5 |         24 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClientTCP-GUI.GeneratedMSBuildEditorConfig.editorconfig | Properties |          3 |          0 |          1 |          4 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClientTCP-GUI.designer.deps.json                        | JSON       |         11 |          0 |          0 |         11 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClientTCP-GUI.designer.runtimeconfig.json               | JSON       |         16 |          0 |          0 |         16 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\OxalateClient-GUI.csproj.nuget.dgspec.json                                         | JSON       |        242 |          0 |          0 |        242 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\OxalateClient-GUI.csproj.nuget.g.props                                             | XML        |         18 |          0 |          0 |         18 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\OxalateClient-GUI.csproj.nuget.g.targets                                           | XML        |          6 |          0 |          0 |          6 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\OxalateClientTCP-GUI.csproj.nuget.dgspec.json                                      | JSON       |        242 |          0 |          0 |        242 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\OxalateClientTCP-GUI.csproj.nuget.g.props                                          | XML        |         18 |          0 |          0 |         18 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\OxalateClientTCP-GUI.csproj.nuget.g.targets                                        | XML        |          6 |          0 |          0 |          6 |
| e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\project.assets.json                                                                | JSON       |        130 |          0 |          0 |        130 |
| e:\Projects\Development\Oxalate\OxalateClient\Client.cs                                                                                  | C#         |        140 |         35 |         20 |        195 |
| e:\Projects\Development\Oxalate\OxalateClient\ClientKeepAlive.cs                                                                         | C#         |         42 |          0 |          3 |         45 |
| e:\Projects\Development\Oxalate\OxalateClient\ClientListener.cs                                                                          | C#         |         54 |          0 |          4 |         58 |
| e:\Projects\Development\Oxalate\OxalateClient\Events.cs                                                                                  | C#         |         48 |          0 |          7 |         55 |
| e:\Projects\Development\Oxalate\OxalateClient\OxalateClientTCP.csproj                                                                    | XML        |          9 |          0 |          4 |         13 |
| e:\Projects\Development\Oxalate\OxalateClient\TcpPacket.cs                                                                               | C#         |         44 |          7 |          4 |         55 |
| e:\Projects\Development\Oxalate\OxalateClient\bin\Debug\netcoreapp3.1\OxalateClient.deps.json                                            | JSON       |         50 |          0 |          0 |         50 |
| e:\Projects\Development\Oxalate\OxalateClient\bin\Debug\netcoreapp3.1\OxalateClientTCP.deps.json                                         | JSON       |         50 |          0 |          0 |         50 |
| e:\Projects\Development\Oxalate\OxalateClient\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs                     | C#         |          3 |          1 |          1 |          5 |
| e:\Projects\Development\Oxalate\OxalateClient\obj\Debug\netcoreapp3.1\OxalateClient.AssemblyInfo.cs                                      | C#         |          9 |         10 |          5 |         24 |
| e:\Projects\Development\Oxalate\OxalateClient\obj\Debug\netcoreapp3.1\OxalateClient.GeneratedMSBuildEditorConfig.editorconfig            | Properties |          3 |          0 |          1 |          4 |
| e:\Projects\Development\Oxalate\OxalateClient\obj\Debug\netcoreapp3.1\OxalateClientTCP.AssemblyInfo.cs                                   | C#         |          9 |         10 |          5 |         24 |
| e:\Projects\Development\Oxalate\OxalateClient\obj\Debug\netcoreapp3.1\OxalateClientTCP.GeneratedMSBuildEditorConfig.editorconfig         | Properties |          3 |          0 |          1 |          4 |
| e:\Projects\Development\Oxalate\OxalateClient\obj\OxalateClient.csproj.nuget.dgspec.json                                                 | JSON       |        181 |          0 |          0 |        181 |
| e:\Projects\Development\Oxalate\OxalateClient\obj\OxalateClient.csproj.nuget.g.props                                                     | XML        |         18 |          0 |          0 |         18 |
| e:\Projects\Development\Oxalate\OxalateClient\obj\OxalateClient.csproj.nuget.g.targets                                                   | XML        |          6 |          0 |          0 |          6 |
| e:\Projects\Development\Oxalate\OxalateClient\obj\OxalateClientTCP.csproj.nuget.dgspec.json                                              | JSON       |        181 |          0 |          0 |        181 |
| e:\Projects\Development\Oxalate\OxalateClient\obj\OxalateClientTCP.csproj.nuget.g.props                                                  | XML        |         18 |          0 |          0 |         18 |
| e:\Projects\Development\Oxalate\OxalateClient\obj\OxalateClientTCP.csproj.nuget.g.targets                                                | XML        |          6 |          0 |          0 |          6 |
| e:\Projects\Development\Oxalate\OxalateClient\obj\project.assets.json                                                                    | JSON       |        112 |          0 |          0 |        112 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\ChatCommands.cs                                                                        | C#         |         97 |          0 |         16 |        113 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\OxalateCore.cs                                                                         | C#         |         65 |          0 |         17 |         82 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\OxalateCorePlugin.csproj                                                               | XML        |         28 |          0 |          8 |         36 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\TcpOnlineUser.cs                                                                       | C#         |        100 |          0 |         10 |        110 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\TcpPacket.cs                                                                           | C#         |         35 |          7 |          4 |         46 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\TcpServer.cs                                                                           | C#         |        210 |          0 |         12 |        222 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\OxalateCorePlugin.deps.json                                    | JSON       |         65 |          0 |          0 |         65 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\OxalateServer.deps.json                                        | JSON       |         50 |          0 |          0 |         50 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\OxalateServer.runtimeconfig.dev.json                           | JSON       |          8 |          0 |          0 |          8 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\OxalateServer.runtimeconfig.json                               | JSON       |          9 |          0 |          0 |          9 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\config.json                                                    | JSON       |         13 |          0 |          0 |         13 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\zh-cn.lang.json                                                | JSON       |         19 |          0 |          2 |         21 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\OxalateCorePlugin.deps.json                                  | JSON       |         64 |          0 |          0 |         64 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\OxalateServer.deps.json                                      | JSON       |         50 |          0 |          0 |         50 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\OxalateServer.runtimeconfig.dev.json                         | JSON       |          8 |          0 |          0 |          8 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\OxalateServer.runtimeconfig.json                             | JSON       |          9 |          0 |          0 |          9 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\config.json                                                  | JSON       |         12 |          0 |          0 |         12 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\zh-cn.lang.json                                              | JSON       |         28 |          0 |          5 |         33 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\config.json                                                                            | JSON       |         21 |          0 |          0 |         21 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\default.lang.json                                                                      | JSON       |          5 |          0 |          0 |          5 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs                 | C#         |          3 |          1 |          1 |          5 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\Debug\netcoreapp3.1\OxalateCorePlugin.AssemblyInfo.cs                              | C#         |          9 |         10 |          5 |         24 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\Debug\netcoreapp3.1\OxalateCorePlugin.GeneratedMSBuildEditorConfig.editorconfig    | Properties |          3 |          0 |          1 |          4 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\OxalateCorePlugin.csproj.nuget.dgspec.json                                         | JSON       |        245 |          0 |          0 |        245 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\OxalateCorePlugin.csproj.nuget.g.props                                             | XML        |         18 |          0 |          0 |         18 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\OxalateCorePlugin.csproj.nuget.g.targets                                           | XML        |          6 |          0 |          0 |          6 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\Release\OxalateCorePlugin.1.0.0.nuspec                                             | XML        |         18 |          0 |          0 |         18 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\Release\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs               | C#         |          3 |          1 |          1 |          5 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\Release\netcoreapp3.1\OxalateCorePlugin.AssemblyInfo.cs                            | C#         |          9 |         10 |          5 |         24 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\Release\netcoreapp3.1\OxalateCorePlugin.GeneratedMSBuildEditorConfig.editorconfig  | Properties |          3 |          0 |          1 |          4 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\project.assets.json                                                                | JSON       |        135 |          0 |          0 |        135 |
| e:\Projects\Development\Oxalate\OxalateCorePlugin\zh-cn.lang.json                                                                        | JSON       |         24 |          0 |          6 |         30 |
| e:\Projects\Development\Oxalate\OxalateServer\Command.cs                                                                                 | C#         |         29 |         16 |          8 |         53 |
| e:\Projects\Development\Oxalate\OxalateServer\IPlugin.cs                                                                                 | C#         |         21 |          9 |          6 |         36 |
| e:\Projects\Development\Oxalate\OxalateServer\OnlineUser.cs                                                                              | C#         |         48 |         13 |         13 |         74 |
| e:\Projects\Development\Oxalate\OxalateServer\OxalateServer.csproj                                                                       | XML        |         19 |          0 |          5 |         24 |
| e:\Projects\Development\Oxalate\OxalateServer\PluginAPI.cs                                                                               | C#         |        101 |         55 |         25 |        181 |
| e:\Projects\Development\Oxalate\OxalateServer\PluginManager.cs                                                                           | C#         |        153 |         23 |         20 |        196 |
| e:\Projects\Development\Oxalate\OxalateServer\Program.cs                                                                                 | C#         |         36 |          0 |         10 |         46 |
| e:\Projects\Development\Oxalate\OxalateServer\Server.Commands.cs                                                                         | C#         |         60 |          5 |          5 |         70 |
| e:\Projects\Development\Oxalate\OxalateServer\Server.Message.cs                                                                          | C#         |         48 |         12 |          5 |         65 |
| e:\Projects\Development\Oxalate\OxalateServer\Server.Users.cs                                                                            | C#         |        103 |         16 |         15 |        134 |
| e:\Projects\Development\Oxalate\OxalateServer\Server.cs                                                                                  | C#         |         98 |         13 |         26 |        137 |
| e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\OxalateServer.deps.json                                            | JSON       |         50 |          0 |          0 |         50 |
| e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\OxalateServer.runtimeconfig.dev.json                               | JSON       |          8 |          0 |          0 |          8 |
| e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\OxalateServer.runtimeconfig.json                                   | JSON       |          9 |          0 |          0 |          9 |
| e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\config.json                                                        | JSON       |         13 |          0 |          0 |         13 |
| e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\plugins\oxalateCore\config.json                                    | JSON       |         20 |          0 |          0 |         20 |
| e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\plugins\oxalateCore\default.lang.json                              | JSON       |          5 |          0 |          0 |          5 |
| e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\plugins\oxalateCore\zh-cn.lang.json                                | JSON       |         24 |          0 |          6 |         30 |
| e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\userdata\username.json                                             | JSON       |         10 |          0 |          0 |         10 |
| e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\zh-cn.lang.json                                                    | JSON       |         19 |          0 |          2 |         21 |
| e:\Projects\Development\Oxalate\OxalateServer\bin\Release\netcoreapp3.1\OxalateServer.deps.json                                          | JSON       |         50 |          0 |          0 |         50 |
| e:\Projects\Development\Oxalate\OxalateServer\bin\Release\netcoreapp3.1\OxalateServer.runtimeconfig.dev.json                             | JSON       |          8 |          0 |          0 |          8 |
| e:\Projects\Development\Oxalate\OxalateServer\bin\Release\netcoreapp3.1\OxalateServer.runtimeconfig.json                                 | JSON       |          9 |          0 |          0 |          9 |
| e:\Projects\Development\Oxalate\OxalateServer\bin\Release\netcoreapp3.1\config.json                                                      | JSON       |         12 |          0 |          0 |         12 |
| e:\Projects\Development\Oxalate\OxalateServer\bin\Release\netcoreapp3.1\zh-cn.lang.json                                                  | JSON       |         28 |          0 |          5 |         33 |
| e:\Projects\Development\Oxalate\OxalateServer\config.json                                                                                | JSON       |         13 |          0 |          0 |         13 |
| e:\Projects\Development\Oxalate\OxalateServer\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs                     | C#         |          3 |          1 |          1 |          5 |
| e:\Projects\Development\Oxalate\OxalateServer\obj\Debug\netcoreapp3.1\OxalateServer.AssemblyInfo.cs                                      | C#         |          9 |         10 |          5 |         24 |
| e:\Projects\Development\Oxalate\OxalateServer\obj\Debug\netcoreapp3.1\OxalateServer.GeneratedMSBuildEditorConfig.editorconfig            | Properties |          3 |          0 |          1 |          4 |
| e:\Projects\Development\Oxalate\OxalateServer\obj\OxalateServer.csproj.nuget.dgspec.json                                                 | JSON       |        181 |          0 |          0 |        181 |
| e:\Projects\Development\Oxalate\OxalateServer\obj\OxalateServer.csproj.nuget.g.props                                                     | XML        |         18 |          0 |          0 |         18 |
| e:\Projects\Development\Oxalate\OxalateServer\obj\OxalateServer.csproj.nuget.g.targets                                                   | XML        |          6 |          0 |          0 |          6 |
| e:\Projects\Development\Oxalate\OxalateServer\obj\Release\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs                   | C#         |          3 |          1 |          1 |          5 |
